Ship,Flag,Sunk date,Notes,Coordinates
USS Althea,United States,12-Mar-20,A pleasure cruiser that was sunk by ice off Detroit.,
SS Cyprus,United States,11-Oct-07,The lake freighter sank during a storm on Lake Superior. The ship went down in 460 feet (140 m) of water about 7 nautical miles (13 km) N of Deer Park in Luce County. All but one of the 23 members of the crew perished,
Three Brothers,United States,27-Sep-11,"She was carrying a load of hardwood worth of $4,200 from Boyne City to Chicago. After leaving Boyne City the vessel was sailing in heavy weather, and the hull began to leak more than usual. In order to save the vessel captain Sam Christopher elected to drive the vessel ashore on South Manitou Island, where she landed just 200 yards (180 m) east of the lifesaving station",
Quincy Dredge Number Two,United States,1967,A dredge that sank in Torch Lake.,
Amboy,United States,28-Nov-05,,
Andy Gibson,United States,,"Retired Mississippi River steamboat that eventually sank, still in a drydock cradle.[27]",
SS Benjamin Noble,United States,29-Apr-14,,
Essayons,United States,23-Mar-09,The laid up tug flooded and sank after being neglected for several decades at the Duluth Timber Company slip inside Duluth Harbor.[28] Her engine is on display at the Lake Superior Maritime Visitor Center.,46°46′25″N 92°06′19″W﻿ / ﻿46.77361°N 92.10528°W﻿ / 46.77361; -92.10528﻿ (E
USS Essex,United States Navy,14-Oct-31,A decommissioned U.S. Navy steam sloop that was scrapped and burned to the waterline outside Duluth Harbor. Her hull is the only surviving remnant of a vessel built by Donald McKay.[29],46°42′46″N 92°01′43″W﻿ / ﻿46.71278°N 92.02861°W﻿ / 46.71278; -92.02861﻿ (USS E
SS George Spencer,United States,28-Nov-05,,
SS Hesper,United States,4-May-05,The steamship sank off the coast of Silver Bay in Lake Superior in a late spring snowstorm.,
SS Lafayette,United States,28-Nov-05,,
Madeira,United States,28-Nov-05,"The schooner-barge was under the tow of the steamer William Edenborn when she was caught in a fierce storm with winds around 70 to 80 miles per hour, blowing snow onto the deck and kicking up huge swells. The tow line was cut loose and she crashed into a cliff called Gold Rock, near Beaver Bay, and sank. One life was lost.",
May Flower,United States,2 June 1891,Scow schooner of an atypical design which capsized while carrying a load of sandstone blocks.  One life was lost.[30],
Niagara,United States,4-Jun-04,,
SS Onoko,United States,15-Sep-15,The first iron hulled lake freighter that sank after she sprang a leak.,
SS Robert Wallace,United States,17-Nov-02,Wooden bulk freighter that foundered when its stern pipe burst.  Whole crew was able to offload to the barge they were towing.[31],
Samuel P. Ely,United States,30 October 1896,,47°0′42″N 91°40′40″W﻿ / ﻿47.01167°N 91.67778°W﻿ / 47.01167; -91.67778﻿ (Samuel P. E
Wayzata Bay Wreck,,1879,,
SS Thomas Wilson,United States,7-Jun-02,"Whaleback freighter that sank outside the entrance to the Duluth harbor after colliding with another ship, prompting operational reforms.  Her hatches were not yet closed because the weather was clear and calm.[32]",
USS Baron DeKalb,United States Navy,13 July 1863,A City-class ironclad warship that was sunk by a mine near Yazoo City.,
USS Cairo,United States Navy,12 December 1862,A river gunboat that struck a naval mine in the Yazoo River. The wreck was raised in 1964 and is currently on display at Vicksburg National Military Park.,
Josephine,,,A side-wheel steamer foundered off the barrier islands.,
USS Lily,United States Navy,28 May 1863,A tugboat that collided with USS Choctaw in the Yazoo River.,
USS Petrel,United States Navy,22 April 1864,A steamboat that was burned in the Yazoo River.,
Star of the West,CSA,March 1863,A steamship that was scuttled as a blockship near Greenwood.,
Far West,United States,October 1883,A steamboat that sunk near St. Charles on the Missouri River.,
USS Inaugural,United States Navy,1-Aug-93,"A decommissioned minesweeper, anchored at St. Louis as a floating museum from 1968 until the Great Flood of 1993. During the flood, the Inaugural was ripped from its moorings and carried a mile downstream, where it came to rest on its side, partially submerged, and where it remains to this day.",
USS Mingo,United States Navy,November 1862,A steamboat that sunk off Cape Girardeau.,
Montana,United States,22 June 1884,"Large paddle wheeler, beached after collision with bridge near Bridgeton.",
Nadine,,10 September 1878,A steamboat built in 1872 that sank at the mouth of the Missouri River. Several lives lost.,
USS Naiad,United States Navy,1 June 1868,A steamboat that sank at Napoleon.,
Butte,,1883,A steamboat that burned near Fort Peck on the Missouri River.,
Chippewa,,10 May 1861,"A steamboat built in 1859, that burned near the mouth of the Poplar River in the Missouri River.",
James D. Rankin,,1877,A steamboat that wrecked on the Yellowstone River.,
Oakes,,1892,A steamboat that sank in the North Fork of the Flathead River.[33],
Red Cloud,,11 July 1882,A steamboat that sunk near the Red Cloud Bend of the Missouri River.,
Tacony,,1870,A steamboat that was deliberately sunk near Fort Peck on the Missouri River. Part of the hull was pulled up in 1935 during the construction of the Fort Peck Dam.,
Yellowstone,,1867,A steamboat that sank in the Yellowstone River.,
Bertrand,United States,1 April 1865,A steamboat that sunk in the Desoto Bend of the Missouri River.,
Pirate,United States,April 1839,A steamboat that sank in the Missouri River near Bellevue.,
SS Tahoe,United States,29-Aug-40,"A steamship that operated in Lake Tahoe at the turn of the 20th century.  Scuttled in 1940, rediscovered in 2002, and added to the National Register of Historic Places in 2004.",
USS O-9,United States Navy,20-Jun-41,An O-class submarine that sank off Portsmouth.,
Adonis,,,Struck shore at Deal Beach.,
USS Algol,United States Navy,18-Nov-91,An Andromeda-class attack cargo ship sunk as an artificial reef in Shark River.,
SS Arundo,Netherlands,28-Apr-42,"Dutch Cargo Steamer of 5,163 tons built in 1930. When en route from New York for Table Bay and Durban she was torpedoed by U-136 and sunk. 6 crew lost from a total crew of 43",
SS Atlantus,United States,8-Jun-26,Sank in a storm.,
Ayuruoca,,,Sank in a collision.,
Beth Dee Bob,,,Foundered in a storm.,
Brunette,,,Sank in a collision.,
SS Carolina,United States,2-Jun-18,A passenger liner sunk by U-151 off Atlantic City.,
Chappara,,,Struck a naval mine.,
SS Choapa,,,Sank in a collision.,
Delaware,,,Burned then sank under tow.,
Goulandris,,,Sank in a collision.,
SS Gulftrade,,,Torpedoed.,
USS Jacob Jones,United States Navy,28-Feb-42,Sunk by a U-boat.,
Lana Carol,,,Foundered off Manasquan Inlet.,
Malta,,,Ran aground near Belmar.,
Maurice Tracy,,,Sank in a collision.,
USRC Mohawk,United States Navy,1-Oct-17,A revenue cutter that sank in a collision with SS Vennacher off Sandy Hook.,
USS Moonstone,United States Navy,16-Oct-43,Sank in a collision with the USS Greer off Cape May.,
SS Morro Castle,United States,8-Sep-34,Caught fire off Long Beach Island.,
Park City,,,Sank in a collision.,
Persephone,,,Torpedoed.,
SS Pinta,,,Sank in a collision.,
Pliny,,,Ran aground on Deal Beach.,
Rjukan,,,Ran aground.,
USCS Robert J. Walker,United States Coast Guard,21 June 1860,"A survey ship that served in the United States Coast Survey, a predecessor of the United States Coast and Geodetic Survey",
R.P. Resor,United States,28-Feb-42,Torpedoed by U-578,
Rusland,,,Struck wreck of Adonis.,
San Saba,,,Struck a naval mine.,
Sindia,,1901,Ran aground on the beach of Ocean City.,
USS St. Augustine,United States Navy,6-Jan-44,A gunboat that was accidentally rammed by Camas Meadows off Cape May.,
Stolt Dagali,,,Sank in a collision.,
USS Tarantula,United States Navy,28-Oct-18,A patrol boat that collided with SS Frisa off Fire Island.,
Tolten,,,Torpedoed.,
U-869,Kriegsmarine,11-Feb-45,A German submarine thought to have been sunk near Gibraltar until its wreck was discovered off the coast of New Jersey in 1991.,
Vega,,,Capsized under tow.,
Vizcaya,,,Sank in a collision.,
PS Washington Irving,United States,1-Jun-26,A sidewheeler that collided with an oil barge on the North River and sunk off Jersey City.,
Western World,United Kingdom,,Ran aground.,
HMS Zebra,Great Britain Navy,22 October 1778,A sloop that ran aground at Little Egg Harbor.,
A.E. Vickery,United States,17 August 1889,A schooner that struck a reef near Rock Island Light.,44°16.820′N 76°01.183′W﻿ / ﻿44.280333°N 76.019717°W﻿ / 44.280333; -76.019717﻿ (A.E
USS Baldwin,United States Navy,5-Jun-61,"A Gleaves-class destroyer that ran aground near Montauk, and although recovered, was deemed not worth repairing, and subsequently scuttled.",
Bessie White,,22-Feb,"A Canadian schooner, recently revealed by superstorm Sandy on Fire Island (south of Long Island) lost in fog while transporting coal.",
Cadet,,,A steamboat that was wrecked in Lake George.,
USS California,United States Navy,19-Jul-18,An armored cruiser sunk by a torpedo or mine near Fire Island.,
Champlain II,United States,16 July 1875,A passenger steamboat ran aground by pilot under influence of morphine near Westport on Lake Champlain.,
Charles R. Morse,,1866,"A schooner, went missing and suspected to have rammed the SS Oregon off Long Island.",
HMS Culloden,Great Britain Navy,23 January 1781,British ship that ran aground at Montauk during the American Revolution.,
Forward,,,A motor launch that was wrecked in Lake George.,
PS General Slocum,United States,15-Jun-04,"A steamboat that caught fire and sank near North Brother Island, with over 1,000 deaths.",
Glückauf,German Empire,March 1893,An oil tanker that ran aground at Fire Island.,
MV Gwendoline Steers,United States,30-Dec-62,A tugboat that sunk on the approach to Huntington Bay.,
Harold,United States,26-Sep-03,"The barge moved out of dock at the South Street Seaport in New York City with 7,700 silver and lead ingots, bound for American Smelting and Refining Company in Perth Amboy, New Jersey. The silver and the smelters belonged to the Guggenheim family. The barge sank, and was never recovered.",
Holland III,United States,November 1883,"A prototype submarine built by John Philip Holland and stolen by the Fenian Brotherhood, who accidentally sunk it off Whitestone.",
HMS Hussar,Great Britain Navy,23 November 1780,A frigate that sank near Long Island Sound.,
USRC Jefferson,United States,15 December 1847,A cutter wrecked off Gardiners Point Island.,
John Milton,United States,6 December 1856,A ship that was wrecked in a snowstorm at Hampton Bays.,
SS Keystorm,,26-Oct-12,A steel freighter that struck Scow Island shoal.,
Land Tortoise,Great Britain Navy,c. 1758,A radeau that was intentionally sunk in Lake George during the French and Indian Wars.,
Lexington,United States,14 January 1840,A paddlewheel steamship which caught fire north of Long Island.,
HMS Liverpool,Great Britain Navy,11 February 1778,A Coventry-class frigate wrecked in Jamaica Bay.,
Morania,,29-Oct-51,"The result of a gasoline explosion that wrecked the Penobscot, as well. Closest shipwreck to the mouth of the Buffalo River",
SS Narragansett,,11 June 1880,"A passenger paddle steamer of the Stonington Line that burned and sank on June 11, 1880, after a collision with her sister ship SS Stonington in heavy fog at 23:30 in Long Island Sound. Approximately 50 passengers, but only one crewman, died.",
SS Nisbet Grammer,United Kingdom,31-May-26,"A British-built (by Cammell Laird & Company at Birkenhead, England in 1923) canaller, a steamship used to carry grain, coal and other products sunk after being hit by SS Dalwarnic off Somerset, New York. The ship was en route to Montreal from Buffalo, New York. All crew were saved and taken aboard Dalwarnic. Ship was named after one other co-owners of the ship.[34]",
USS Ohio,United States Navy,1884,A ship of the line that burned in Greenport Harbor.,
SS Oregon,United Kingdom,6 March 1886,A passenger liner that was sunk off Long Island following a collision with a schooner believed to be the Charles R. Morse.,
Rusland,Belgium,19 March 1877,"The Belgian Red Star Line owned ocean liner ran aground at Long Island. All 125 passengers were taken ashore. There were attempts made to salvage ship, but it broke in two on 16 April and was declared a total loss.[35]",
Roy A. Jodrey,Canada,20-Nov-74,"A bulk carrier that struck a buoy, then ran aground on Pullman Shoal near the United States Coast Guard Station at Wellesley Island.",
USS Salmon,United States Navy,5-Jun-93,A Sailfish-class submarine that was sunk as a target near Hudson Canyon.,
SS Savannah,United States,5 November 1821,"The first steamship to cross the Atlantic, before running aground off Long Island.",
Sea Bear,,14-Mar-15,"Tug boat that sank off of Fire Island, NY with loss of one of her four crew members.",
USS Spikefish,United States Navy,4-Aug-64,A Balao-class submarine that was sunk as a target off Long Island.,
USS Turner,United States Navy,3-Jan-44,A destroyer; exploded and sunk at Ambrose Light.,
USS Verdi,United States Navy,31-Jul-31,A patrol vessel that was wrecked off Watch Island.,
Vierge Marie,,9 November 1854,A barque that came ashore carrying nuts from the Canary Islands[36] and immigrants.[37],
Wiawaka bateaux,Great Britain Navy,1758,The wrecks of seven British and colonial bateaux that were scuttled in Lake George in 1758.,
Washington,United States Navy,1-Dec-17,A schooner that ran aground at the entrance to the Ambrose Channel.,
Island City,United States,1864,A steamboat that sank near Fort Buford on the Missouri River.,
Rose Bud,United States,25 May 1880,"A steamboat built in 1878, that sank in the Missouri River near Bismarck.",
USS Abeona,United States Navy,7 March 1872,The gunboat caught fire and was destroyed in the Ohio River at Cincinnati,
PS Anthony Wayne,United States,28 April 1850,A sidewheel steamer that sank after two of her boilers exploded.,
USS Carondelet,United States Navy,1873,Sank in the Ohio River during a flood.,
Moselle,United States,25 April 1838,A riverboat that exploded off Cincinnati.,
Elizabeth M,United States,9-Jan-05,A towboat that sank in the Ohio River.,
USS Rush,United States Navy,8-Dec-17,"She was on a voyage from Boston, Massachusetts, to Philadelphia when she struck a submerged log at the entrance to the back channel of League Island Navy Yard and was wrecked. All hands were saved.",
Charles Foster,,,"Sank off of Fairview, Pennsylvania, in Lake Erie.",
Crete,,,"Sank off of Erie, Pennsylvania, in Lake Erie.",
Dean Richmond,,,"Sank off of North East, Pennsylvania, in Lake Erie.",
Eldorado,,,"Sank off of Erie, Pennsylvania, in Lake Erie.",42°10′N 80°00′W﻿ / ﻿42.167°N 80.000°W﻿ / 42.167; -80.000﻿ (E
Indiana,,,"Sank off of Harborcreek, Pennsylvania, in Lake Erie.",
Mississippi III,United States,19-Feb-10,A Sternwheel steamboat built in 1926.  It Sank in the Ohio River off of Neville Island.,
Oneida,,,"Sank off of North East, Pennsylvania, in Lake Erie.",
Oxford,,,Sank near the U.S.-Canadian border in Lake Erie.,
Philip D. Armour,,,"Sank off of Erie, Pennsylvania, in Lake Erie.",
S.K. Martin,,,"Sank off of North East, Pennsylvania, in Lake Erie.",
Antonio López,Spain,1898,A transoceanic steamer belonging to the Compañía Transatlántica Española.,
Black Point,,5-May-45,A steel collier sunk by U-853 after World War II hostilities had ceased.,
HMS Cerberus,Great Britain Navy,5 August 1778,"A frigate that was burnt in Narragansett Bay to prevent capture by the French, along with HMS Lark.",
USS Cero,United States Navy,21-Oct-18,A patrol vessel that caught fire in Narragansett Bay.,
USS G-1,United States Navy,21-Jun-21,A G-class submarine that was sunk as a target in Narragansett Bay.,
HMS Gaspée,Great Britain Navy,9 June 1772,British customs ship burned and sunk by American patriots in the lead-up to the American Revolution.,
HMS Lark,Great Britain Navy,5 August 1778,"A Richmond-class frigate that was burnt in Narragansett Bay to prevent capture by the French, along with HMS Cerberus.",
USS Leyden,United States Navy,21-Jan-03,A steamboat and tug that foundered off Block Island.,
HMS Liberty,Great Britain Navy,19 July 1769,A British ship that was burned by American colonists off Goat Island.,
USS Sealion,United States Navy,8-Jul-78,A Balao-class submarine that was sunk as a target off Newport.,
USS Snowden,United States Navy,27-Jun-69,An Edsall-class destroyer escort that was sunk as a target off Newport.,
U-853,Kriegsmarine,6-May-45,Sunk off Block Island by US Navy blimps' rockets.,
,HMS Endeavour,Great Britain Navy,4 August 1778,
,USS Bass,United States Navy,12-Mar-45,
,USS L-8,United States Navy,26-May-26,
HMS Actaeon,Great Britain Navy,29 June 1776,Frigate burned at Charleston; reported as discovered by NUMA in 1981.,
USS Amazon,United States Navy,20 December 1861,A barque that was part of the Stone Fleet scuttled at Charleston Harbor.,
Anchor Wreck,,,Located near Myrtle Beach.,
USS American,United States Navy,20 December 1861,A barque that was part of the Stone Fleet scuttled at Charleston Harbor.,
CSS Charleston,Confederate States Navy,18 February 1865,An ironclad warship that was scuttled at Charleston to prevent capture.,
Civil War Wreck,,,Located near Myrtle Beach.,
City of Richmond,,,Located near Myrtle Beach.,
USS Dixon,United States Navy,21-Jul-03,A submarine tender that was sunk as a target off Charleston.,
CSS Georgiana,Confederate States Navy,19 March 1863,"Iron hulled Confederate cruiser destroyed off Isle of Palms with cargo of munitions, medicines and merchandise then valued at over $1,000,000, while attempting to run past the federal blockade fleet into Charleston.",
SS Governor,,November 1861,"A side wheel steamer used for federal transport, carrying a marine battalion of 600 under Major John G Reynolds. It sank off Georgetown after a gale and a hit from a rescue vessel. It foundered for 3 days. Seven men lost.",
HEBE & St Cathan,,,Located near Myrtle Beach.,
USS Housatonic,United States Navy,17 February 1864,"Sunk by CSS Hunley, becoming the first warship in history to be sunk by a submarine.",
CSS H. L. Hunley,Confederate States Navy,17 February 1864,"Sank three times in its eight-month career, sinking for the final time shortly after its attack on USS Housatonic. Placed on National Register of Historic Places in 1978.",
USS Keokuk,United States Navy,8 April 1863,"An experimental ironclad steamer, sunk in the First Battle of Charleston Harbor.",
USS Kingfisher,United States Navy,28 March 1864,A barque that ran aground on the banks of the Combahee River.,
Mary Bowers,CSA,31 August 1864,"Iron-hulled sidewheel steamer of 680 tons, stranded on the wreck of CSS Georgiana while attempting to run the federal blockade into Charleston.",
USS Meteor,United States Navy,9 January 1862,A sailing ship that was part of the Stone Fleet scuttled at Charleston Harbor.,
USS New England,United States Navy,25 January 1862,A whaler that was part of the Stone Fleet scuttled at Charleston Harbor.,
Norseman,CSA,,"Iron-hulled propeller steamer, ran on wreck of CSS Georgiana and stranded a half mile inshore while attempting outbound run through the federal blockade of Charleston with a cargo of cotton. The vessel was owned by George Trenholm (aka the ""real Rhett Butler"").",
SS Ozama,United States,23 November 1894,An American steamer that ran aground on the shoals at Cape Romain. The wreck was rediscovered in 2013.,
USS Patapsco,United States Navy,15 January 1865,Struck a naval mine at Charleston.,
USS Peri,United States Navy,25 January 1862,A ship of the Stone Fleet scuttled at Charleston Harbor.,
Pipe Wreck,,,Located near Myrtle Beach.,
USS Potomac,United States Navy,9 January 1862,A whaler that was part of the Stone Fleet scuttled at Charleston Harbor.,
Raccoon,CSA,,Blockade runner at Charleston.,
USS Rebecca Sims,United States Navy,20 December 1861,A whaler that was part of the Stone Fleet scuttled at Charleston Harbor.,
USS Robin Hood,United States Navy,20 December 1861,A ship that was part of the Stone Fleet scuttled at Charleston Harbor.,
Ruby,CSA,,"Blockade runner run aground at Folly Island, Charleston.",
USS Stephen Young,United States Navy,25 January 1862,A brig that was part of the Stone Fleet scuttled at Charleston Harbor.,
Stonewall Jackson,CSA,,"Blockade runner grounded and burned at Isle of Palms, Charleston.",
USS Tenedos,United States Navy,20 December 1861,A barque that was part of the Stone Fleet scuttled at Charleston Harbor.,
USS Timor,United States Navy,26 January 1862,A ship that was part of the Stone Fleet scuttled at Charleston Harbor.,
SS United States,United States,3 April 1881,Wrecked off Cape Romain[39],
USS Vermilion,United States Navy,4-Mar-88,A Tolland-class attack cargo ship that was sunk as an artificial reef off Myrtle Beach.,
USS Weehawken,United States Navy,6 December 1863,American Civil War monitor at Charleston.,
SS William Lawrence,United States,February 1899,A cargo ship that was wrecked in a storm off Hilton Head Island.,
Urilda,United States,24 April 1869,A steamboat that sank in the Kate Sweeney Bend of the Missouri River near Vermillion.,
Western,United States,29 March 1881,A steamboat that sank in the Missouri River near Yankton.,
Chattanooga,,,A paddlewheel steamer that sank in the Tennessee River near Chattanooga.,
CSS Colonel Lovell,Confederate States Navy,6 June 1862,A cottonclad warship that was rammed by USS Queen of the West and USS Monarch in the Battle of Memphis.,
Eclipse,,27 January 1865,A Mississippi River steamboat that exploded near Johnsonville.[40],
M.E. Norman,United States Army,8-May-25,A steamboat that sank near Memphis.,
Pennsylvania,United States,13 June 1858,A steamboat that sank near Memphis.,
Sultana,United States,27 April 1865,"A Mississippi River paddlewheeler that exploded four miles (6 km) south of Memphis, killing an estimated 1,600 passengers.",
Anona,,1944,A steam yacht sunk in the Viosca Knoll area.[41],
La Belle,Kingdom of France,1686,"A barque-longue of French explorer La Salle's expedition, which ran aground in Matagorda Bay.",
City of Waco,United States,9 November 1875,The Mallory Line (New York) Steamer sunk after a fire aboard off Galveston. 56 lives were lost.,
USS Elizabeth,United States Navy,15-Nov-18,A patrol vessel that was wrecked at the mouth of the Brazos River.,
SS Grandcamp,France,16-Apr-47,"Accidental detonation of 2,300 tons of ammonium nitrate aboard this French-registered vessel killed 581 people in the Texas City disaster.",
Gulfpenn,,13-May-42,A fuel tanker torpedoed by U-boat U-506.[42][43],
Hannah Elizabeth,United States,19 November 1835,Two-masted schooner sunk near Pass Cavallo.[44],
USS Hatteras,United States Navy,11 January 1863,A US Navy gunboat sunk by CSS Alabama off Galveston during the American Civil War.,
Heredia,United States,19-May-42,A United Fruit Company freighter torpedoed by German submarine U-506.[25],
Mary,,,A steamship that ran aground at Aransas Pass.,
SS Nicaragua,,16-Oct-12,Ran aground on Padre Island.,
Oaxaca,Mexico,26-Jul-42,A Mexican freighter torpedoed by U-171 near Port O'Connor.,
OMI Charger,United States,9-Oct-93,An oil tanker that exploded near Galveston.,
San Esteban,Spain,29 April 1554,A Spanish cargo ship that was wrecked in a storm on the Padre Island sandbars. The wreck was discovered in 1970.,26°33.20′N 97°25.52′W﻿ / ﻿26.55333°N 97.42533°W﻿ / 26.55333; -97.42533﻿ (San E
SS Selma,United States,19-Mar-22,"A concrete oil tanker scuttled off Pelican Island after running aground off Tampico, Mexico.",
Sheherezade,,,An oil tanker sunk by a torpedo.,
A.R. Noyes,,17 October 1884,"A standard canal boat that broke loose from tug at Proctor Shoal, Lake Champlain.[45]",
General Butler,United States,9 December 1876,A sailing canal boat that hit breakwater near Burlington on Lake Champlain.[46],
O.J. Walker,United States,11 May 1895,A sailing canal boat sunk in a gale near Burlington.[47],
Phoenix,United States,4 September 1819,A steamer that caught fire near Colchester Shoal.[48],
Unknown horse ferry,,,"The only known example of a horse-powered ferry on Lake Champlain, found in Burlington Bay.[49][50]",
Water Witch,United States,26 April 1866,A schooner that foundered in a gale off Diamond Island.[51],
Amaganzette,,,Swamped.,
USAS American Mariner,United States,Oct-66,A research vessel that was sunk as a target in Chesapeake Bay.,
Anglo African,United Kingdom,9-Jan,Sunk off Cape Charles.,
USS Beale,United States Navy,24-Jun-69,A Fletcher-class destroyer that was sunk as a target in Chesapeake Bay.,
USS Charles F. Hughes,United States Navy,26-Mar-69,A Benson-class destroyer that was sunk as a target.,
USS Coos Bay,United States Navy,9-Jan-68,A Barnegat-class seaplane tender that was sunk as a target.,
USS Cumberland,United States Navy,8 March 1862,A frigate that was rammed by CSS Virginia at Newport News.,
USCGC Cuyahoga,United States,26-Nov-78,Collided with MV Santa Cruz II  off Smith Point. Raised and re-sunk as an artificial reef off the Virginia Capes.,
USS Despatch,United States Navy,10 October 1891,A steamship that was wrecked in a gale off Assateague Island.,
Doxie Girl,,,,
CSS Drewry,Confederate States Navy,24 January 1865,A gunboat that was wrecked in the Battle of Trent's Reach.,
Ethel C.,,,,
Eureka,United States,,Sank in a collision.,
CSS Florida,Confederate States Navy,28 November 1864,A cruiser that collided with USAT Alliance at Newport News.,
Francis E. Powell,,,Torpedoed.,
CSS Fredericksburg,Confederate States Navy,4 April 1865,An ironclad warship that was scuttled in the James River to prevent capture.,
USS Guavina,United States Navy,14-Nov-67,A Gato-class submarine that was sunk as a target off Cape Henry.,
Gulf Hustler,,,Swamped.,
USS Gyatt,United States Navy,11-Jun-70,A Gearing-class destroyer that was sunk as a target.,
Hanks,,,Swamped.,
USS Henry Andrew,United States Navy,24 August 1862,A steamship that ran aground off Cape Henry.,
CSS Jamestown,Confederate States Navy,15 May 1862,A steamship that was sunk as a blockship near Drewry's Bluff.,
SS John Morgan,United States,1-Jun-43,Collided with SS Montana.,
USS John W. Weeks,United States Navy,19-Nov-70,An Allen M. Sumner-class destroyer that was sunk as a target.,
Juno,Spain,1802,Spanish ship lost in a storm; still owned by Spain according to a ruling of the Fourth Circuit (Virginia v. Spain).[52],
USS Katahdin,United States Navy,9-Sep,An ironclad warship that was sunk as a target in Rappahannock River.,
Kingston Ceylonite,,,Torpedoed.,
La Galga,Spain,1750,"Sank in a tropical cyclone; Spain claimed ownership to the wreck, but the Fourth Circuit (Virginia v. Spain) ruled that Spain had expressly abandoned it in 1763.[52]",
Lillian Luckenbach,,,Sank in a collision.,
USS Manta,United States Navy,16-Jul-69,A Balao-class submarine that was sunk as a target off Norfolk.,
SS Marine Electric,United States,12-Feb-83,"A 605-foot bulk carrier that sank 30 miles east of Chincoteague. An investigation by the United States Coast Guard found that the ship had been in an un-seaworthy condition, and that many of its inspection reports had been faked.",
Merida,United States,13-May-11,Collided with SS Admiral Farragut.,
USS Mona Island,United States Navy,1975,A repair ship that was scuttled as an artificial reef off Wachapreague.,
USS Moore,United States Navy,13-Jun-75,An Edsall-class destroyer escort that was sunk as a target.,
Ocean Venture,,,Torpedoed.,
SMS Ostfriesland,German Navy,21-Jul-21,A Helgoland-class battleship sunk as a target off Cape Hatteras.,
Ironsides,United States Navy,29 August 1873,A steamship that was stranded at Hog Island.,
USS R-8,United States Navy,19-Aug-36,An R-class submarine sunk as a target off Cape Henry.,
Santore,,,Struck a naval mine.,
USS Saxis,United States Navy,7-Jul-17,A patrol vessel that was wrecked off West Point.,
USS Scurry,United States Navy,14-Aug-67,An Admirable-class minesweeper that was sunk as a target off the Virginia Capes.,
SS SeaBreeze,Panama,Dec-00,A cruise ship that sank off the coast of Virginia.,
USS Sumpter,United States Navy,24 June 1863,A steamship that sank in a collision near Smith Island.,
USS Teaser,United States Navy,27-Dec-18,A patrol vessel that caught fire in the Hampton Roads.,
USS Texas,United States Navy,21-Mar-11,A pre-dreadnought battleship that was sunk as a target in Tangier Sound.,
SS Tiger,United States,1-Apr-42,Torpedoed by U-754 in Chesapeake Bay.,
USS Tills,United States Navy,3-Apr-69,A Cannon-class destroyer escort that was sunk as a target.,
USCGC Unimak,United States Coast Guard,1988,A Casco-class cutter that was sunk as an artificial reef.,
SS Vestris,United Kingdom,12-Nov-28,A steamship that sank in a storm off Norfolk.,
CSS Virginia,Confederate States Navy,11 May 1862,An ironclad warship that was scuttled off Craney Island to prevent capture.,
USS Washington,United States Navy,25-Feb-24,An incomplete battleship; construction work ceased upon the signing of the Washington Naval Treaty in February 1922. The ship was ultimately sunk as a target.,
Winthorp,,,,
USS Witek,United States Navy,4-Jul-69,A Gearing-class destroyer that was sunk as a target.,
William D. Sanner,,,Collision in the Chesapeake Bay.,
Libelle,Bremen,4 March 1866,A German barque that shipwrecked on the eastern reef during a gale.[53],
Dashing Wave,United Kingdom,31 August 1870,A British tea clipper that struck a reef and sank.,
Hayate,Imperial Japanese Navy,11-Dec-41,A Japanese destroyer sunk by US Marines.,19°10′N 166°22′E
Kisaragi,Imperial Japanese Navy,11-Dec-41,A Japanese destroyer sunk by US Marines.,18°55′N 166°17′E
SS Admiral Sampson,United States,26-Aug-14,A cargo liner that collided with SS Princess Victoria near Point No Point.,
Alice Gertrude,United States,11-Jan-07,A steamboat that was wrecked in a snowstorm at the entrance to Clallam Bay.,
USS Bugara,United States Navy,1-Jun-71,A Balao-class submarine that sunk under tow off Cape Flattery.,
SS Catala,Canada,1-Jan-65,A steamship that ran aground in a storm in Grays Harbor.,
Dix,United States,18-Nov-06,A steamboat that collided with the Jeanie off Duwamish Head.,
Dode,United States,20-Jul-10,A steamboat that struck a rock off Marrowstone Island.,
Falcon,United States,after June 1919,"A launch that sank for unknown reasons in Lake Washington, off Kirkland. The wreck was discovered in 2006.",
USS General M. C. Meigs,United States Navy,9-Jan-72,A General John Pope-class troop transport that ran aground under tow in a storm.,
SS Great Republic,United States,19 April 1879,An American steamboat accidentally run aground on sand and subsequently destroyed by waves near the mouth of the Columbia River.,
Grundl,,15-Sep-68,"A 50-foot yacht capsized and sank when hit by a 35-foot wave at Grays Harbor Bar.  Diane Sheldon Guertin, 37; Glenn Genoway, 60, and Mella Genoway, 60, were killed.  Frank Guertin, 45, skipper and husband of Diane, was the only survivor.",
Hector,United States,13-Apr,A tugboat that sank after an internal explosion off Purdy Spit.,
Isabella,United Kingdom,1830,A Hudson's Bay Company British supply ship. Remains are in 40 feet (12 m) of water off Cape Disappointment near Astoria. Site is listed in the National Register of Historic Places by the National Park Service.[54],
SS Lamut,Soviet Union,31-Mar-43,A Russian steamship that ran aground south of Cape Flattery during a violent storm.,
Leona,United States,1912,A steamship that burned on the Lewis River near La Center.,
USS Memphis,United States Navy,13 May 1883,A steamship that caught fire at Seattle.,
North Pacific,United States,18-Jul-03,A steamboat that ran aground off Marrowstone Point Light.,
